kgram_type,doc_a,doc_b,jaccard
char_2,D1,D2,0.981132
char_2,D1,D3,0.815700
char_2,D1,D4,0.644444
char_2,D2,D3,0.800000
char_2,D2,D4,0.641270
char_2,D3,D4,0.652997
char_3,D1,D2,0.977979
char_3,D1,D3,0.580357
char_3,D1,D4,0.305085
char_3,D2,D3,0.568047
char_3,D2,D4,0.305903
char_3,D3,D4,0.312124
word_2,D1,D2,0.940767
word_2,D1,D3,0.182342
word_2,D1,D4,0.030242
word_2,D2,D3,0.173664
word_2,D2,D4,0.030303
word_2,D3,D4,0.016071
